registered_at,Total_Revenue,Sold_Products
2015-07-23T18:29:22Z,7995,909
2015-04-27T22:37:31Z,10337,1005
2015-04-27T10:06:33Z,9532,844
2016-12-25T21:06:40Z,7960,1195
2013-01-14T06:52:44Z,10470,916
2011-06-15T21:36:38Z,10108,951
2011-06-13T11:32:56Z,8988,916
2015-02-07T08:02:14Z,11005,1082
2013-08-16T01:44:12Z,8563,1027
2016-04-01T11:01:57Z,8491,813
2013-07-17T04:49:51Z,9061,887
2013-11-26T02:39:47Z,9332,1121
2014-06-23T01:02:05Z,10477,1200
2012-10-07T18:35:16Z,10821,965
2011-10-14T23:36:38Z,10088,1048
2011-02-15T16:29:25Z,7215,977
2014-04-07T05:45:55Z,9998,669
2015-12-04T00:21:13Z,11783,745
2012-07-27T07:06:41Z,10914,743
2012-12-12T02:46:08Z,8291,1019
2015-07-26T22:34:27Z,9602,970
2013-01-26T15:56:21Z,11458,943
2013-09-03T22:24:36Z,9187,1124
2011-07-21T09:07:28Z,6856,1065
2014-11-05T14:21:16Z,8251,790
2011-01-24T05:19:23Z,9418,1007
2014-12-10T05:30:41Z,9311,745
2011-08-10T07:27:19Z,9332,1192
2011-04-14T00:24:26Z,12148,971
2016-12-15T20:16:56Z,9285,869
2011-02-14T11:48:58Z,8435,853
2016-04-20T22:36:34Z,9355,1013
2015-11-15T08:16:45Z,10702,944
2016-07-01T20:50:33Z,11249,1046
2011-09-02T07:42:02Z,11088,721
2014-01-18T17:54:56Z,10647,1138
2013-03-04T19:13:50Z,8079,944
2014-10-09T19:01:33Z,10480,971
2011-10-09T06:22:08Z,10510,1126
2011-10-15T15:48:38Z,8638,1040
2012-03-14T13:15:35Z,7583,948
2016-05-16T04:50:04Z,9953,1067
2014-04-22T22:09:23Z,9384,1051
2016-05-17T21:07:05Z,9096,914
2011-06-27T08:09:55Z,9730,924
2014-01-02T13:28:39Z,10956,938
2015-03-08T04:54:19Z,8730,1105
2014-03-12T07:24:16Z,10494,919
2011-06-15T13:15:34Z,12108,1036
2013-09-09T20:58:26Z,8458,1107
2016-06-12T20:58:14Z,9816,922
2014-05-27T12:42:45Z,9146,1083
2013-06-05T02:27:34Z,9869,1058
2012-08-11T16:22:53Z,11183,779
2011-10-23T07:45:18Z,9972,859
2013-08-05T06:46:02Z,9406,1120
2011-01-14T19:18:22Z,10311,775
2015-05-14T16:30:08Z,9415,869
2016-10-09T09:37:28Z,8618,1085
2013-07-28T07:51:59Z,9477,1327
2016-10-05T19:36:29Z,10488,929
2012-07-03T19:50:50Z,10440,1135
2013-05-07T07:53:20Z,11206,1033
2015-03-06T08:12:19Z,12577,858
2011-05-04T13:36:20Z,8793,1344
2015-01-02T15:35:35Z,11204,1009
2012-09-07T11:47:17Z,9808,932
2014-09-19T22:56:33Z,8591,906
2012-02-27T05:38:23Z,12276,976
2011-11-12T01:30:35Z,9530,1230
2016-07-28T06:55:04Z,8807,1201
2014-06-05T14:25:01Z,9578,1011
2013-09-04T00:08:09Z,10246,1042
2014-04-17T07:52:24Z,10083,822
2012-03-27T18:11:35Z,9124,825
2011-01-08T10:41:19Z,10506,1088
2011-09-07T17:25:39Z,11585,910
2014-04-07T07:16:49Z,9428,1125
2013-03-27T06:13:38Z,8713,1229
2012-09-17T08:21:00Z,11088,1033
2011-09-23T20:28:54Z,10551,1132
2014-12-16T23:00:54Z,10617,1100
2015-10-18T04:10:47Z,12358,1035
